city;state_id;state_name;county_name;lat;lng
South Fork;CO;Colorado;Rio Grande;37,6691;-106,6417
Thurston;OH;Ohio;Fairfield;39,8451;-82,5532
Buckhorn;PA;Pennsylvania;Columbia;41,0176;-76,4968
Port Gamble Tribal Community;WA;Washington;Kitsap;47,8488;-122,5571
Golden Beach;FL;Florida;Miami-Dade;25,966;-80,121
Newcastle;TX;Texas;Young;33,1951;-98,7436
Thomas;WV;West Virginia;Tucker;39,1458;-79,4958
Kirtland Hills;OH;Ohio;Lake;41,6362;-81,3192
Joliet;MT;Montana;Carbon;45,4846;-108,9723
Keyesport;IL;Illinois;Bond;38,746;-89,2737
Camden;MI;Michigan;Hillsdale;41,755;-84,7562
Mohall;ND;North Dakota;Renville;48,7661;-101,5169
DISH;TX;Texas;Denton;33,133;-97,3012
Dinosaur;CO;Colorado;Moffat;40,2399;-109,0066
Caliente;NV;Nevada;Lincoln;37,6458;-114,4929
Ireton;IA;Iowa;Sioux;42,9749;-96,3216
Frisco;NC;North Carolina;Dare;35,2437;-75,6018
Galena;MO;Missouri;Stone;36,8054;-93,471
Silverton;CO;Colorado;San Juan;37,8107;-107,6649
Gilman;IA;Iowa;Marshall;41,8789;-92,7881
Glenaire;MO;Missouri;Clay;39,2197;-94,4515
Sinclairville;NY;New York;Chautauqua;42,2653;-79,259
Parkway Village;KY;Kentucky;Jefferson;38,2113;-85,7381
Shepherd;MT;Montana;Yellowstone;45,9468;-108,3462
Peñasco;NM;New Mexico;Taos;36,1703;-105,6908
East Freedom;PA;Pennsylvania;Blair;40,3552;-78,4305
Glenview;KY;Kentucky;Jefferson;38,3019;-85,6519
Bennington;KS;Kansas;Ottawa;39,0334;-97,5932
Rolling Fields;KY;Kentucky;Jefferson;38,2689;-85,6708
Norwalk;WI;Wisconsin;Monroe;43,8342;-90,6269
Onley;VA;Virginia;Accomack;37,6915;-75,718
Knightsville;IN;Indiana;Clay;39,5253;-87,0891
Pioneer;FL;Florida;Hendry;26,7257;-81,219
Darden;TN;Tennessee;Henderson;35,6384;-88,2261
West City;IL;Illinois;Franklin;37,9962;-88,947
Paa-Ko;NM;New Mexico;Bernalillo;35,1998;-106,3337
Sycamore Hills;MO;Missouri;St. Louis;38,7013;-90,349
Gates;TN;Tennessee;Lauderdale;35,8406;-89,4081
Potomac;IL;Illinois;Vermilion;40,3067;-87,7977
Swea City;IA;Iowa;Kossuth;43,3834;-94,3104
Wainwright;AK;Alaska;North Slope;70,638;-159,9713
St. Libory;IL;Illinois;St. Clair;38,3634;-89,7135
Lopatcong Overlook;NJ;New Jersey;Warren;40,6971;-75,1452
Distant;PA;Pennsylvania;Armstrong;40,9695;-79,3567
Kellogg;IA;Iowa;Jasper;41,7181;-92,9072
Chireno;TX;Texas;Nacogdoches;31,4989;-94,3459
Slovan;PA;Pennsylvania;Washington;40,3595;-80,385
San Marine;OR;Oregon;Lincoln;44,3533;-124,0904
Rocky Ripple;IN;Indiana;Marion;39,8484;-86,1731
Potter Valley;CA;California;Mendocino;39,319;-123,1122
Irvington;IL;Illinois;Washington;38,4386;-89,1602
Gustavus;AK;Alaska;Hoonah-Angoon;58,4275;-135,7492
Beersheba Springs;TN;Tennessee;Grundy;35,459;-85,6689
White Cliffs;NM;New Mexico;McKinley;35,5491;-108,6644
Sedillo;NM;New Mexico;Bernalillo;35,0906;-106,2869
Cankton;LA;Louisiana;St. Landry;30,3455;-92,113
Antelope;SD;South Dakota;Todd;43,3087;-100,6306
Scotts Corners;NY;New York;Westchester;41,1889;-73,5561
Elizabeth;WV;West Virginia;Wirt;39,0616;-81,3979
Cisne;IL;Illinois;Wayne;38,5141;-88,4371
Poplar;WI;Wisconsin;Douglas;46,5828;-91,7836
Fairmount;IL;Illinois;Vermilion;40,0456;-87,8293
Carlisle;IN;Indiana;Sullivan;38,9608;-87,4014
Lynnview;KY;Kentucky;Jefferson;38,1791;-85,7112
Big Stone City;SD;South Dakota;Grant;45,2985;-96,4657
Rossiter;PA;Pennsylvania;Indiana;40,899;-78,9355
Clarkson;NE;Nebraska;Colfax;41,7234;-97,1215
Remy;OK;Oklahoma;Sequoyah;35,4578;-94,4984
Rome;WI;Wisconsin;Jefferson;42,9823;-88,6389
Wallowa;OR;Oregon;Wallowa;45,5704;-117,5286
Gibraltar;PA;Pennsylvania;Berks;40,2809;-75,8609
Silo;OK;Oklahoma;Bryan;34,0356;-96,4744
Coyle;OK;Oklahoma;Logan;35,9568;-97,2396
Callaway;NE;Nebraska;Custer;41,2915;-99,9203
Alhambra;IL;Illinois;Madison;38,8878;-89,7362
Mount Jewett;PA;Pennsylvania;McKean;41,7246;-78,6443
Hailesboro;NY;New York;St. Lawrence;44,3097;-75,4356
West Baden Springs;IN;Indiana;Orange;38,5676;-86,612
North Walpole;NH;New Hampshire;Cheshire;43,1467;-72,4458
Hastings;FL;Florida;St. Johns;29,7145;-81,499
Gilberton;PA;Pennsylvania;Schuylkill;40,7961;-76,2235
Rote;PA;Pennsylvania;Clinton;41,0781;-77,4114
Metamora;OH;Ohio;Fulton;41,7113;-83,9056
Bay Shore;MI;Michigan;Charlevoix;45,3609;-85,1115
Tampico;IL;Illinois;Whiteside;41,6309;-89,7849
Scotland;TX;Texas;Archer;33,6499;-98,4677
Fairfield;WA;Washington;Spokane;47,3848;-117,1748
Skyland Estates;VA;Virginia;Warren;38,9329;-78,085
Blair;OK;Oklahoma;Jackson;34,7804;-99,3332
Leawood;MO;Missouri;Newton;37,0333;-94,4948
Corn;OK;Oklahoma;Washita;35,379;-98,7818
Neosho;WI;Wisconsin;Dodge;43,3101;-88,5192
Fincastle;KY;Kentucky;Jefferson;38,3081;-85,5415
Morley;MI;Michigan;Mecosta;43,4908;-85,4456
Bluffview;WI;Wisconsin;Sauk;43,3641;-89,773
Georgetown;PA;Pennsylvania;Lancaster;39,9426;-76,0789
Farina;IL;Illinois;Fayette;38,8302;-88,7796
